,단지코드,총세대수,임대건물구분,지역,공가수,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수,국민임대A,국민임대B,공공임대(50년)A,영구임대C,임대상가D,영구임대E,영구임대F,국민임대E,국민임대G,국민임대H,공공임대(10년)A,공공임대(분납)A,장기전세A,영구임대I,공공분양D,영구임대A,행복주택J,행복주택K,행복주택L,공공임대(5년)A,행복주택M,행복주택N,행복주택O,평균면적,평균임대보증금,평균임대료
0,C2515,545,아파트,경상남도,17.0,0.0,3.0,624.0,205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.26022018348624,14035965.137614679,119431.26605504587
7,C1407,1216,아파트,대전광역시,13.0,1.0,1.0,1285.0,1064.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.42687499999999,27604981.907894738,171132.23684210525
18,C1945,755,아파트,경기도,6.0,1.0,3.0,734.0,730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28099337748345,22449145.695364237,187414.2119205298
24,C1470,696,아파트,전라북도,14.0,0.0,2.0,645.0,553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.90068965517241,19393988.50574713,125449.22413793103
28,C1898,566,아파트,전라북도,9.0,0.0,6.0,517.0,415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.71031802120141,17573065.371024735,119608.03886925794
34,C1244,1722,아파트,경기도,10.0,0.0,10.0,1483.0,1804.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.67317653890825,38710689.89547038,265752.38095238095
47,C1171,624,아파트,대전광역시,13.0,0.0,5.0,634.0,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.12514423076923,27334878.205128204,158131.66666666666
59,C2073,361,아파트,강원도,13.0,0.0,5.0,288.0,301.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.957728531855956,14957110.8033241,185595.62326869805
65,C2513,754,아파트,광주광역시,15.0,0.0,6.0,530.0,820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.883846153846164,32443000.0,192250.0
68,C1936,240,아파트,광주광역시,8.0,0.0,10.0,168.0,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.888333333333335,32443000.0,192250.0
72,C2049,688,아파트,강원도,0.0,0.0,5.0,631.0,841.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.50758720930233,15868906.976744186,88354.56395348837
75,C2202,623,아파트,강원도,0.0,0.0,2.0,222.0,226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.04242375601926,10619874.799357945,156849.40609951847
78,C1925,601,아파트,강원도,9.0,0.0,4.0,117.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93359209650582,8555589.55407654,136737.4526955075
80,C1925,601,상가,강원도,9.0,0.0,4.0,117.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93359209650582,8555589.55407654,136737.4526955075
