단지코드,총세대수,공가수,평균면적,평균임대보증금,평균임대료,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,지역점수,국민임대A,국민임대B,공공임대(50년)A,영구임대C,임대상가D,영구임대E,영구임대F,국민임대E,국민임대G,국민임대H,공공임대(10년)A,공공임대(분납)A,장기전세A,영구임대I,공공분양D,영구임대A,행복주택J,행복주택K,행복주택L,공공임대(5년)A,행복주택M,행복주택N,행복주택O,임대건물구분_상가,임대건물구분_아파트,지역_강원도,지역_경기도,지역_경상남도,지역_경상북도,지역_광주광역시,지역_대구광역시,지역_대전광역시,지역_부산광역시,지역_서울특별시,지역_세종특별자치시,지역_울산광역시,지역_전라남도,지역_전라북도,지역_제주특별자치도,지역_충청남도,지역_충청북도
C1000,-0.4154081742802424,-0.2791625690561171,-0.06414472818468946,-0.67793065055736,-0.6055788675424875,-0.3377348533104753,-0.9737464449615132,-0.32294705044947725,-0.5965636130277995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C1004,-0.5205534841111106,-0.9538416239755666,-0.288873501547961,-1.1732799986100158,-0.6602605181380168,-0.3377348533104753,-0.6196568286118721,-1.1123939694850584,-0.39213862209236117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
C1005,0.9351249164362422,0.29913376373198247,0.8790232651633473,-0.3460533290217607,0.373741139629566,-0.3377348533104753,1.504880869485975,1.0952874146249703,-0.39213862209236117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C1013,1.3183211567087396,0.29913376373198247,0.25208619839888546,0.19435271996697134,-0.3691765642706857,-0.3377348533104753,0.7967016367866927,1.563415587667122,-0.6862654615553619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1014,0.5893136752147202,-0.7610761797128667,-0.12269695287373118,-0.29188088322063943,-0.24209629325261928,-0.3377348533104753,-0.6196568286118721,0.743498787545957,-0.5490624380419535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C1015,0.5075339897907116,1.4557264293081815,0.010034023270075828,-0.548780592758185,-0.4826290965437734,-0.3377348533104753,-0.2655672122622309,1.0343476524538027,-0.4360660857007763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1017,1.6734786476930055,1.3593437071768317,-0.3785785925763584,-0.04797758123954926,0.5772632566570102,-0.3377348533104753,-0.6196568286118721,2.712961101350512,-0.688496101926454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1022,-0.8289797262816573,-0.8574589018442166,0.331410360481864,0.1831640460429411,0.4110308219325754,-0.3377348533104753,0.0885224040874103,-0.5611661207549509,2.0223598900897355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1024,-0.14904005604204304,-1.0502243461069165,2.478998890985277,4.715266077192279,6.25152765119617,-0.3377348533104753,-0.2655672122622309,0.8930782037842776,0.39820682601643603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1026,-1.0602994079095673,-0.2791625690561171,0.9944393953503102,0.12756313809927464,-0.6166559470944553,-0.3377348533104753,-0.6196568286118721,-0.9683545316259349,-0.27227206955201505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
